region,subregion,station,abbreviation,elevation,month,precip,avg precip,pct of avg,year
SOUTH COAST,SANTA ANA RIVER,Laguna Beach,LGB,35,Oct-Sep,8.84,12.58,70.0,1987
SOUTH COAST,SAN DIEGO AREA,Cuyamaca Dam,CUY,4641,Oct-Sep,,36.2,,1987
SOUTH COAST,SAN DIEGO AREA,Barrett,BRT,1607,Oct-Sep,13.39,17.13,78.0,1987
SOUTH COAST,SAN DIEGO AREA,El Capitan Dam,ELC,600,Oct-Sep,11.68,15.9,73.0,1987
SOUTH COAST,SAN DIEGO AREA,San Diego Nws-Lindbergh,SDG,13,Oct-Sep,9.3,10.37,90.0,1987
SACRAMENTO RIVER,SACRAMENTO VALLEY FLOOR,Harrison Gulch RS,HRR,2750,Oct-Sep,22.58,35.17,64.0,1987
SACRAMENTO RIVER,SACRAMENTO VALLEY FLOOR,Clear Lk Highlands (Obs),CLH,1340,Oct-Sep,17.09,25.09,68.0,1987
SACRAMENTO RIVER,SACRAMENTO VALLEY FLOOR,East Park Reservoir,EPK,1205,Oct-Sep,11.2,18.98,59.0,1987
SACRAMENTO RIVER,SACRAMENTO VALLEY FLOOR,Stony Gorge Reservoir,STG,800,Oct-Sep,10.54,19.98,53.0,1987
SACRAMENTO RIVER,SACRAMENTO VALLEY FLOOR,Red Bluff,RBF,353,Oct-Sep,19.51,21.51,91.0,1987
SACRAMENTO RIVER,SACRAMENTO VALLEY FLOOR,Capay,CPY,300,Oct-Sep,10.36,22.24,47.0,1987
SACRAMENTO RIVER,SACRAMENTO VALLEY FLOOR,Orland,ORL,254,Oct-Sep,12.07,20.36,59.0,1987
SACRAMENTO RIVER,SACRAMENTO VALLEY FLOOR,Chico Univ Farm,CES,185,Oct-Sep,17.29,25.78,67.0,1987
SACRAMENTO RIVER,SACRAMENTO VALLEY FLOOR,Woodland 1 Wnw,WDL,69,Oct-Sep,10.74,17.17,63.0,1987
SACRAMENTO RIVER,SACRAMENTO VALLEY FLOOR,Davis 2wsw,DVS,60,Oct-Sep,10.1,16.83,60.0,1987
SACRAMENTO RIVER,SACRAMENTO VALLEY FLOOR,Feather River Near Nicolaus,NIC,43,Oct-Sep,10.76,17.63,61.0,1987
SACRAMENTO RIVER,SACRAMENTO VALLEY FLOOR,Sacramento Wb City,SCR,25,Oct-Sep,12.01,17.92,67.0,1987
SACRAMENTO RIVER,UPPER SACRAMENTO RIVER,Mineral (Obs.),MNR,4875,Oct-Sep,35.55,51.13,70.0,1987
SACRAMENTO RIVER,UPPER SACRAMENTO RIVER,Alturas RS,ALT,4400,Oct-Sep,8.06,12.54,64.0,1987
SACRAMENTO RIVER,UPPER SACRAMENTO RIVER,Adin RS,ADN,4195,Oct-Sep,10.33,15.67,66.0,1987
SACRAMENTO RIVER,UPPER SACRAMENTO RIVER,Mount Shasta City,MSC,3590,Oct-Sep,30.37,36.15,84.0,1987
